Altium Designer Pick and Place Locations
C:\Users\zongr\OneDrive\Desktop\Projects\Altium Designer\8bit_RAM\Project Outputs for 8bit_RAM\Pick Place for 8bit_RAM.txt

========================================================================================================================
File Design Information:

Date:       02/10/25
Time:       22:19
Revision:   29ab3f085957ddea3d852d6a1bc2dfb5b9f46a60
Variant:    No variations
Units used: mil

Designator Comment                             Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                        
J55        NRPN101PAEN-RC                      TopLayer    FP-NRPN101PAEN-RC-MFG  7419.291      1290.354      0        "CONN HEADER VERT 10POS 2MM"                                                       
J54        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 9904.528      2368.189      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
J53        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 9904.528      4027.939      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
J52        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 9904.528      5660.663      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
C1         "Capacitor 100 nF +/-10% 50 V 0603" BottomLayer CAPC1608X90X40NL10T20  4204.725      2645.669      180      "Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)"                        
R8         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  4054.910      1623.030      0        ""                                                                                 
R7         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  4401.677      1623.030      0        ""                                                                                 
R6         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  4748.444      1623.030      0        ""                                                                                 
R5         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  5095.212      1623.030      0        ""                                                                                 
R4         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  5441.980      1627.952      0        ""                                                                                 
R3         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  5788.748      1627.952      0        ""                                                                                 
R2         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  6135.516      1627.952      0        ""                                                                                 
R1         ERJ-3RQFR56V                        TopLayer    RESC1608X55X30NL15T15  6482.283      1621.062      0        ""                                                                                 
J51        LPPB041NFFN-RC                      TopLayer    FP-LPPB041NFFN-RC-MFG  2062.600      4813.976      180      "CONN HDR 4POS 0.05 GOLD PCB"                                                      
J50        LPPB041NFFN-RC                      TopLayer    FP-LPPB041NFFN-RC-MFG  8490.750      6597.440      180      "CONN HDR 4POS 0.05 GOLD PCB"                                                      
J49        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 1164.370      4162.402      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
J48        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 2965.550      4162.402      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
J47        NPPN101BFCN-RC                      TopLayer    SULLINS_NPPN101BFCN-RC 7592.520      5945.866      90       "10 Position Header Connector 0.079 (2.00mm) Through Hole Gold"                    
